# Série;Designação da série (PT);Métrica;Unidade de Medida;Período de referência;Valor;Estado
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1941-12-31;0.330;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1942-12-31;-0.050;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1943-12-31;0.050;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1944-12-31;-0.060;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1945-12-31;-0.100;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1946-12-31;-0.060;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1947-12-31;-0.170;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1948-12-31;-0.100;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1949-12-31;-0.210;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1950-12-31;-1.160;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1951-12-31;0.020;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1952-12-31;-1.040;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1953-12-31;-0.880;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1954-12-31;-0.960;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1955-12-31;-0.710;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1956-12-31;-0.690;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1957-12-31;-0.990;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1958-12-31;-0.790;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1959-12-31;-0.740;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1960-12-31;-0.630;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1961-12-31;-0.430;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1962-12-31;-0.820;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1963-12-31;-1.010;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1964-12-31;-1.480;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1965-12-31;-1.950;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1966-12-31;-2.030;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1967-12-31;-1.630;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1968-12-31;-1.560;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1969-12-31;-2.380;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1970-12-31;-1.400;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1971-12-31;-1.410;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1972-12-31;-0.830;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1973-12-31;-0.970;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1974-12-31;1.990;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1975-12-31;3.820;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1976-12-31;0.120;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1977-12-31;0.200;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1978-12-31;0.320;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1979-12-31;0.380;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1980-12-31;0.430;
12711760;Taxa de crescimento migratório-percentagem-anual;Taxa de variação homóloga;Percentagem;1981-12-31;0.080;
